 Customer_ID ,Customer_Name,Region,Revenue_Q1,Revenue_Q2,Revenue_Q3,Expenses,Profit
C080,Nisha,Maharashtra,60929,58700,51819,132828,38620
C081,Ayaan,Tamil Nadu,102357,116556,126440,217986,127367
C082,Pihu,Telangana,62534,54286,69139,130109,55850
C083,Rahul,Rajasthan,99073,104482,127531,222308,108778
C084,Simran,Madhya Pradesh,98821,99296,83416,173089,108444
C085,Manav,Delhi,70458,85010,78280,136714,97034
C086,Kavya,Gujarat,86946,84518,92018,196933,66549
C087,Om,Karnataka,222702,254387,321638,464501,334226
C088,Sneha,Maharashtra,102598,127197,153802,287378,96219
C089,Varun,Tamil Nadu,66497,59656,75390,145800,55743
C090,Aditi,Telangana,167928,195629,241553,442211,162899
C091,Harsh,Rajasthan,129941,115446,133526,234721,144192
C092,Neha,Madhya Pradesh,70151,83423,77313,169081,61806
C093,Akash,Delhi,180665,175308,212798,424612,144159
C094,Shreya,Gujarat,118438,98324,89740,185540,120962
C095,Ritesh,Karnataka,78198,96634,92186,183384,83634
C096,Tanvi,Maharashtra,164773,183259,224484,347001,225515
C097,Mohit,Tamil Nadu,67235,58467,75176,113782,87096
C098,Palak,Telangana,129590,108395,119923,218280,139628
C099,Siddharth,Rajasthan,142228,143315,185225,258954,211814
C100,Mahi,Madhya Pradesh,211149,190400,160184,355787,205946
C101,Aarav,Delhi,196293,239084,257841,490141,203077
C102,Diya,Gujarat,235801,213335,219099,512340,155895
C103,Rohan,Karnataka,146559,159449,181520,269311,218217
C104,Anaya,Maharashtra,138727,144007,164183,270298,176619
C105,Vihaan,Tamil Nadu,242769,229934,202594,424975,250322
C106,Ishita,Telangana,159390,177121,221994,379802,178703
C107,Arjun,Rajasthan,138892,138143,168560,266914,178681
C108,Meera,Madhya Pradesh,115098,115656,127035,246954,110835
C109,Kabir,Delhi,181893,183706,210214,375951,199862
C110,Saanvi,Gujarat,104483,115276,110228,228549,101438
C111,Aditya,Karnataka,222335,214360,259985,498332,198348
C112,Aanya,Maharashtra,236369,225373,272059,409689,324112
C113,Vivaan,Tamil Nadu,72114,66725,69932,154685,54086
C114,Myra,Telangana,79091,80342,100053,173771,85715
C115,Reyansh,Rajasthan,248310,277966,293893,478516,341653
C116,Anika,Madhya Pradesh,231981,258816,323125,605325,208597
C117,Atharv,Delhi,87941,101547,93935,206634,76789
C118,Kiara,Gujarat,242429,252786,213377,414378,294214
C119,Dhruv,Karnataka,91813,93307,112405,206354,91171
C120,Ira,Maharashtra,206518,222222,283559,535485,176814
C121,Arnav,Tamil Nadu,220603,258205,322283,505450,295641
C122,Navya,Telangana,203621,206012,184668,442153,152148
C123,Rudra,Rajasthan,177983,165782,155615,342470,156910
C124,Tara,Madhya Pradesh,196655,202235,189056,372973,214973
C125,Yash,Delhi,247051,232935,221386,423014,278358
C126,Avni,Gujarat,201597,172294,153754,326923,200722
C127,Karan,Karnataka,100056,112438,95665,192900,115259
C128,Riya,Maharashtra,202242,206357,175380,430130,153849
C129,Dev,Tamil Nadu,162099,195990,215659,402103,171645
C130,Nisha,Telangana,210913,207446,170692,360179,228872
C131,Ayaan,Rajasthan,162232,192566,246031,377888,222941
C132,Pihu,Madhya Pradesh,203165,236472,295814,475792,259659
C133,Rahul,Delhi,131548,132522,110514,227519,147065
C134,Simran,Gujarat,238032,276879,323285,619034,219162
C135,Manav,Karnataka,93456,116045,124908,252746,81663
C136,Kavya,Maharashtra,215161,228649,190466,435820,198456
C137,Om,Tamil Nadu,95572,113993,103417,183920,129062
C138,Sneha,Telangana,145813,132837,129766,293209,115207
C139,Varun,Rajasthan,159385,149766,191187,315016,185322
C140,Aditi,Madhya Pradesh,81471,83282,98233,140314,122672
C141,Harsh,Delhi,151740,139056,118605,314786,94615
C142,Neha,Gujarat,70553,80735,103002,145411,108879
C143,Akash,Karnataka,65342,71038,66385,130403,72362
C144,Shreya,Maharashtra,89986,95610,88403,192309,81690
C145,Ritesh,Tamil Nadu,156703,139802,155386,322858,129033
C146,Tanvi,Telangana,90024,103928,93390,172655,114687
C147,Mohit,Rajasthan,211698,175929,170605,388591,169641
C148,Palak,Madhya Pradesh,158384,156889,182494,268674,229093
C149,Siddharth,Delhi,241040,283739,265740,554367,236152
C150,Mahi,Gujarat,139058,164870,182708,268367,218269
C151,Aarav,Karnataka,208355,240969,237753,433805,253272
C152,Diya,Maharashtra,157142,133515,150981,231104,210534
C153,Rohan,Tamil Nadu,170115,199647,173824,418455,125131
C154,Anaya,Telangana,226614,272702,283794,438367,344743
C155,Vihaan,Rajasthan,106173,120562,154732,225149,156318
C156,Ishita,Madhya Pradesh,201078,231862,241864,495772,179032
C157,Arjun,Delhi,215313,201405,247490,488850,175358
C158,Meera,Gujarat,82718,77749,80577,172376,68668
C159,Kabir,Karnataka,209382,226644,227077,349761,313342
C160,Saanvi,Maharashtra,145200,130417,120220,287946,107891
C161,Aditya,Tamil Nadu,149217,140301,155194,333012,111700
C162,Aanya,Telangana,205697,169569,216212,320734,270744
C163,Vivaan,Rajasthan,248763,247460,268861,445649,319435
C164,Myra,Madhya Pradesh,184804,202866,214144,437014,164800
C165,Reyansh,Delhi,84393,79879,81006,143060,102218
C166,Anika,Gujarat,234053,250452,262264,491403,255366
C167,Atharv,Karnataka,171543,214180,232211,377848,240086
C168,Kiara,Maharashtra,178946,167581,157639,277982,226184
C169,Dhruv,Tamil Nadu,110484,105587,124231,261089,79213
C170,Ira,Telangana,240922,216736,200234,424926,232966
C171,Arnav,Rajasthan,249945,268321,317933,564572,271627
C172,Navya,Madhya Pradesh,86352,101725,97879,175528,110428
C173,Rudra,Delhi,139237,115021,123806,223557,154507
C174,Tara,Gujarat,74293,78597,90760,134697,108953
C175,Yash,Karnataka,188680,163040,134652,288870,197502
C176,Avni,Maharashtra,185492,187235,170101,289521,253307
C177,Karan,Tamil Nadu,185233,160978,137051,313083,170179
C178,Riya,Telangana,211262,230415,194869,355696,280850
C179,Dev,Rajasthan,207545,254891,219432,398572,283296
C180,Nisha,Madhya Pradesh,206295,236973,263284,512668,193884
C181,Ayaan,Delhi,119162,137459,137813,298275,96159
C182,Pihu,Gujarat,137949,164141,212597,308502,206185
C183,Rahul,Karnataka,222798,188464,241394,356220,296436
C184,Simran,Maharashtra,114470,124654,118051,193270,163905
C185,Manav,Tamil Nadu,122879,109944,94115,170235,156703
C186,Kavya,Telangana,178096,198831,207889,309067,275749
C187,Om,Rajasthan,135524,152327,176308,296155,168004
C188,Sneha,Madhya Pradesh,240193,221066,209346,486674,183931
C189,Varun,Delhi,214609,236994,300546,474257,277892
C190,Aditi,Gujarat,202753,185857,165694,326520,227784
C191,Harsh,Karnataka,97286,82761,74455,152695,101807
C192,Neha,Maharashtra,209214,254427,262261,465928,259974
C193,Akash,Tamil Nadu,139715,156604,199276,322197,173398
C194,Shreya,Telangana,189445,191005,211453,444667,147236
C195,Ritesh,Rajasthan,144494,155995,129852,249391,180950
C196,Tanvi,Madhya Pradesh,236763,279253,306087,630721,191382
C197,Mohit,Delhi,236234,277152,303924,587162,230148
C198,Palak,Gujarat,105925,108288,122660,255410,81463
C199,Siddharth,Karnataka,107576,134328,138253,278162,101995
C200,Mahi,Maharashtra,83918,85772,87144,154992,101842
C201,Aarav,Tamil Nadu,87420,103927,101672,205217,87802
C202,Diya,Telangana,135554,149775,151604,313599,123334
C203,Rohan,Rajasthan,69619,70703,68650,126229,82743
C204,Anaya,Madhya Pradesh,165952,197800,240517,314400,289869
C205,Vihaan,Delhi,202237,206008,174286,381437,201094
C206,Ishita,Gujarat,223219,255646,286373,549132,216106
C207,Arjun,Karnataka,113361,105973,93562,186137,126759
C208,Meera,Maharashtra,243042,249950,208422,479630,221784
C209,Kabir,Tamil Nadu,122730,138096,133837,206627,188036
C210,Saanvi,Telangana,166952,143592,186135,376165,120514
C211,Aditya,Rajasthan,180965,222086,251157,366377,287831
C212,Aanya,Madhya Pradesh,247853,234345,271511,473349,280360
C213,Vivaan,Delhi,186484,231520,216932,421171,213765
C214,Myra,Gujarat,160554,144813,160409,332580,133196
C215,Reyansh,Karnataka,95784,114129,108719,231136,87496
C216,Anika,Maharashtra,168774,163060,195362,310763,216433
C217,Atharv,Tamil Nadu,60672,57130,55033,116249,56586
C218,Kiara,Telangana,232999,240116,214021,453531,233605
C219,Dhruv,Rajasthan,150472,144896,171872,288789,178451
C220,Ira,Madhya Pradesh,144352,172345,222458,313836,225319
C221,Arnav,Delhi,160393,147630,176013,257191,226845
C222,Navya,Gujarat,183987,206663,249953,397417,243186
C223,Rudra,Karnataka,233982,271589,307701,455064,358208
C224,Tara,Maharashtra,69704,60941,78209,126632,82222
C225,Yash,Tamil Nadu,86309,103217,106452,194382,101596
C226,Avni,Telangana,179780,148606,132139,343755,116770
C227,Karan,Rajasthan,100464,85613,102318,169837,118558
C228,Riya,Madhya Pradesh,223383,249711,282653,560355,195392
C229,Dev,Delhi,236778,281651,282328,482321,318436
C230,Nisha,Gujarat,248407,298485,314667,569201,292358
C231,Ayaan,Karnataka,221863,188455,211626,472330,149614
C232,Pihu,Maharashtra,119634,136515,140379,216343,180185
C233,Rahul,Tamil Nadu,226133,253873,220423,394520,305909
C234,Simran,Telangana,138503,167377,140944,324839,121985
C235,Manav,Rajasthan,136904,133363,136927,237594,169600
C236,Kavya,Madhya Pradesh,168016,178659,214463,316591,244547
C237,Om,Delhi,80701,87325,87641,178357,77310
C238,Sneha,Gujarat,190460,230935,205231,400977,225649
C239,Varun,Karnataka,126578,128807,146850,303171,99064
C240,Aditi,Maharashtra,181963,219723,251638,366562,286762
C241,Harsh,Tamil Nadu,175796,215605,279008,400757,269652
C242,Neha,Telangana,171230,191235,198746,335913,225298
C243,Akash,Rajasthan,160845,190912,166321,320770,197308
C244,Shreya,Madhya Pradesh,154098,164448,213205,317327,214424
C245,Ritesh,Delhi,232550,230270,189716,486085,166451
C246,Tanvi,Gujarat,72856,88269,103952,195239,69838
C247,Mohit,Karnataka,135024,155759,144927,317415,118295
C248,Palak,Maharashtra,117410,128416,143572,271106,118292
C249,Siddharth,Tamil Nadu,248987,286338,328375,479839,383861
C250,Mahi,Telangana,85470,103287,116739,183396,122100
C251,Aarav,Rajasthan,175559,146477,145764,259239,208561
C252,Diya,Madhya Pradesh,137361,131933,134497,231051,172740
C253,Rohan,Delhi,201402,241053,239995,443910,238540
C254,Anaya,Gujarat,131441,154719,145953,317352,114761
C255,Vihaan,Karnataka,186313,230278,221450,476172,161869
C256,Ishita,Maharashtra,90191,92119,78867,187023,74154
C257,Arjun,Tamil Nadu,119143,141763,165525,330392,96039
C258,Meera,Telangana,206096,201414,241601,339886,309225
C259,Kabir,Rajasthan,200659,175204,174664,393485,157042
C260,Saanvi,Madhya Pradesh,128724,137909,167526,331904,102255
C261,Aditya,Delhi,88402,98142,102686,196989,92241
C262,Aanya,Gujarat,207169,199098,221564,432192,195639
C263,Vivaan,Karnataka,226567,266048,334290,494960,331945
C264,Myra,Maharashtra,167032,145346,122347,230263,204462
C265,Reyansh,Tamil Nadu,189138,164537,153464,334591,172548
C266,Anika,Telangana,161881,164320,187626,366469,147358
C267,Atharv,Rajasthan,201608,201653,237202,358771,281692
C268,Kiara,Madhya Pradesh,168759,185907,226838,395463,186041
C269,Dhruv,Delhi,133332,111207,110968,225846,129661
C270,Ira,Gujarat,121895,144792,125634,273948,118373
C271,Arnav,Karnataka,202728,244840,276550,387941,336177
C272,Navya,Maharashtra,132320,119302,104823,263943,92502
C273,Rudra,Tamil Nadu,179201,154008,141966,326097,149078
C274,Tara,Telangana,65598,55217,54117,135938,38994
C275,Yash,Rajasthan,208000,188913,230155,416432,210636
C276,Avni,Madhya Pradesh,213716,195092,241417,393662,256563
C277,Karan,Delhi,98680,114381,126513,201058,138516
C278,Riya,Gujarat,97929,121886,131551,255658,95708
C279,Dev,Karnataka,88816,98075,81635,140671,127855
C280,Nisha,Maharashtra,122372,131330,108685,213444,148943
C281,Ayaan,Tamil Nadu,93228,106180,113880,223647,89641
C282,Pihu,Telangana,184845,187203,186038,376347,181739
C283,Rahul,Rajasthan,178490,185031,235692,318346,280867
C284,Simran,Madhya Pradesh,232727,243019,252705,561378,167073
C285,Manav,Delhi,75945,94885,116395,181190,106035
C286,Kavya,Gujarat,88301,91022,114383,158339,135367
C287,Om,Karnataka,81178,77809,69343,126223,102107
C288,Sneha,Maharashtra,223661,244287,264614,442869,289693
C289,Varun,Tamil Nadu,216602,227029,235606,460122,219115
C290,Aditi,Telangana,85999,99847,87358,188572,84632
C291,Harsh,Rajasthan,204529,231109,213362,413675,235325
C292,Neha,Madhya Pradesh,119898,119650,145633,240225,144956
C293,Akash,Delhi,84926,81053,78622,143402,101199
C294,Shreya,Gujarat,100013,111547,116862,178569,149853
C295,Ritesh,Karnataka,82377,70851,61381,152820,61789
C296,Tanvi,Maharashtra,94108,99682,109800,202194,101396
C297,Mohit,Tamil Nadu,146414,162242,165030,353908,119778
C298,Palak,Telangana,170870,203895,237763,472739,139789
C299,Siddharth,Rajasthan,217393,207469,180441,394613,210690
C300,Mahi,Madhya Pradesh,100561,110858,102836,172254,142001
C301,Aarav,Delhi,205821,201303,238755,432264,213615
C302,Diya,Gujarat,172489,204126,262869,468608,170876
C303,Rohan,Karnataka,220844,245189,266578,496958,235653
C304,Anaya,Maharashtra,232446,273511,259390,433881,331466
C305,Vihaan,Tamil Nadu,244208,280310,353845,536913,341450
C306,Ishita,Telangana,107554,128423,140216,234821,141372
C307,Arjun,Rajasthan,97191,110663,142364,190468,159750
C308,Meera,Madhya Pradesh,199062,181645,185553,344644,221616
C309,Kabir,Delhi,157007,149785,146145,346390,106547
C310,Saanvi,Gujarat,216296,185264,156594,313083,245071
C311,Aditya,Karnataka,221962,186758,160454,361544,207630
C312,Aanya,Maharashtra,171152,176087,181753,312646,216346
C313,Vivaan,Tamil Nadu,194308,168842,173292,318455,217987
C314,Myra,Telangana,237861,255711,274359,460903,307028
C315,Reyansh,Rajasthan,117807,116624,129181,189804,173808
C316,Anika,Madhya Pradesh,139015,170500,202609,368054,144070
C317,Atharv,Delhi,135876,130589,107567,267142,106890
C318,Kiara,Gujarat,106057,92858,99881,173250,125546
C319,Dhruv,Karnataka,206466,243287,293641,400495,342899
C320,Ira,Maharashtra,71089,71627,74540,117371,99885
C321,Arnav,Tamil Nadu,142066,151666,166109,323944,135897
C322,Navya,Telangana,169495,160086,162393,379416,112558
C323,Rudra,Rajasthan,105055,122343,136620,268036,95982
C324,Tara,Madhya Pradesh,154857,132851,162789,262757,187740
C325,Yash,Delhi,214369,212695,182439,454894,154609
C326,Avni,Gujarat,149001,136377,162830,241968,206240
C327,Karan,Karnataka,225996,196397,209119,477132,154380
C328,Riya,Maharashtra,151586,147185,188389,335076,152084
C329,Dev,Tamil Nadu,98716,90976,80995,154640,116047
C330,Nisha,Telangana,217915,193014,228604,345086,294447
C331,Ayaan,Rajasthan,224613,231906,274143,524299,206363
C332,Pihu,Madhya Pradesh,177677,197734,245859,426922,194348
C333,Rahul,Delhi,223714,214537,275908,430063,284096
C334,Simran,Gujarat,175281,148877,153679,286096,191741
C335,Manav,Karnataka,132004,141813,140243,223298,190762
C336,Kavya,Maharashtra,181043,183636,155596,383047,137228
C337,Om,Tamil Nadu,80114,87901,113316,152896,128435
C338,Sneha,Telangana,215734,223940,233368,446982,226060
C339,Varun,Rajasthan,70753,71700,86664,157971,71146
C340,Aditi,Madhya Pradesh,144286,155850,165303,357926,107513
C341,Harsh,Delhi,178101,153969,192704,319741,205033
C342,Neha,Gujarat,247253,211713,239265,370185,328046
C343,Akash,Karnataka,245498,247519,255172,490748,257441
C344,Shreya,Maharashtra,101614,99223,125081,202306,123612
C345,Ritesh,Tamil Nadu,148700,165343,139737,310399,143381
C346,Tanvi,Telangana,147726,125322,108449,265666,115831
C347,Mohit,Rajasthan,134487,124852,153412,318126,94625
C348,Palak,Madhya Pradesh,217994,260614,255405,492898,241115
C349,Siddharth,Delhi,97074,117867,114202,227297,101846
C350,Mahi,Gujarat,233574,230897,255284,549806,169949
C351,Aarav,Karnataka,141155,149671,168960,278356,181430
C352,Diya,Maharashtra,93500,103612,126189,230216,93085
C353,Rohan,Tamil Nadu,239677,290573,251304,542647,238907
C354,Anaya,Telangana,193297,188577,187454,322734,246594
C355,Vihaan,Rajasthan,116149,112309,133395,206227,155626
C356,Ishita,Madhya Pradesh,96061,85170,81931,190769,72393
C357,Arjun,Delhi,193087,222335,271439,514979,171882
C358,Meera,Gujarat,69895,77208,95789,165333,77559
C359,Kabir,Karnataka,216564,212663,190945,456539,163633
C360,Saanvi,Maharashtra,223771,261339,235063,456442,263731
C361,Aditya,Tamil Nadu,167704,163787,190877,403316,119052
C362,Aanya,Telangana,220063,207413,244601,427925,244152
C363,Vivaan,Rajasthan,199987,184556,236875,449867,171551
C364,Myra,Madhya Pradesh,110860,108440,138220,277419,80101
C365,Reyansh,Delhi,181026,208335,248647,415187,222821
C366,Anika,Gujarat,169749,209724,254208,461527,172154
C367,Atharv,Karnataka,96280,115092,97258,199052,109578
C368,Kiara,Maharashtra,157311,166506,144734,346695,121856
C369,Dhruv,Tamil Nadu,92683,87360,103634,167632,116045
C370,Ira,Telangana,194572,171877,177031,416342,127138
C371,Arnav,Rajasthan,118205,138439,172304,326825,102123
C372,Navya,Madhya Pradesh,168762,142249,150920,268521,193410
C373,Rudra,Delhi,81392,79862,66567,173602,54219
C374,Tara,Gujarat,247355,271962,326317,469982,375652
C375,Yash,Karnataka,135203,164201,171882,346908,124378
C376,Avni,Maharashtra,244952,250271,279144,585052,189315
C377,Karan,Tamil Nadu,64981,60435,73777,132003,67190
C378,Riya,Telangana,219614,229923,200807,386893,263451
C379,Dev,Rajasthan,138944,121214,113268,256217,117209
C380,Nisha,Madhya Pradesh,223266,226963,198186,489772,158643
C381,Ayaan,Delhi,216431,227361,255403,468119,231076
C382,Pihu,Gujarat,248362,218990,224691,470485,221558
C383,Rahul,Karnataka,123062,131108,119296,259086,114380
C384,Simran,Maharashtra,197228,244385,208334,426869,223078
C385,Manav,Tamil Nadu,192992,223515,237743,343668,310582
C386,Kavya,Telangana,183243,153689,154565,303282,188215
C387,Om,Rajasthan,64257,62557,53325,104965,75174
C388,Sneha,Madhya Pradesh,232255,253192,301379,559550,227276
C389,Varun,Delhi,147167,129119,127712,245639,158359
C390,Aditi,Gujarat,228505,204577,244262,434043,243301
C391,Harsh,Karnataka,242292,248535,225543,397629,318741
C392,Neha,Maharashtra,247706,285793,297135,495302,335332
C393,Akash,Tamil Nadu,71483,82932,103265,155137,102543
C394,Shreya,Telangana,141284,147163,190543,316702,162288
C395,Ritesh,Rajasthan,126404,105641,119428,208911,142562
C396,Tanvi,Madhya Pradesh,72531,86478,84689,134609,109089
C397,Mohit,Delhi,156474,157708,159602,300536,173248
C398,Palak,Gujarat,161356,155835,141758,321235,137714
C399,Siddharth,Karnataka,156297,190284,203461,400594,149448
C400,Mahi,Maharashtra,171280,146262,162230,352060,127712
C401,Aarav,Tamil Nadu,202992,192095,166978,340194,221871
C402,Diya,Telangana,137500,130871,145169,260856,152684
C403,Rohan,Rajasthan,240817,243437,251865,521887,214232
C404,Anaya,Madhya Pradesh,152421,165283,170038,334718,153024
C405,Vihaan,Delhi,75036,63950,72008,129647,81347
C406,Ishita,Gujarat,238103,211624,176694,463961,162460
C407,Arjun,Karnataka,237756,274837,229957,399106,343444
C408,Meera,Maharashtra,229125,223974,224818,452498,225419
C409,Kabir,Tamil Nadu,218621,193693,200658,377867,235105
C410,Saanvi,Telangana,176376,202501,221836,395064,205649
C411,Aditya,Rajasthan,164342,156977,149720,362575,108464
C412,Aanya,Madhya Pradesh,66793,75899,80418,138465,84645
C413,Vivaan,Delhi,207239,180429,215068,423753,178983
C414,Myra,Gujarat,116248,145128,138898,303521,96753
C415,Reyansh,Karnataka,188765,171035,151391,275661,235530
C416,Anika,Maharashtra,105260,126989,131262,197323,166188
C417,Atharv,Tamil Nadu,238763,295123,381758,635125,280519
C418,Kiara,Telangana,246001,208590,225327,511125,168793
C419,Dhruv,Rajasthan,101289,114059,144297,246645,113000
C420,Ira,Madhya Pradesh,154763,160762,141189,261356,195358
C421,Arnav,Delhi,96405,88865,93941,171388,107823
C422,Navya,Gujarat,210019,205531,247820,440098,223272
C423,Rudra,Karnataka,220418,264551,225280,442855,267394
C424,Tara,Maharashtra,247939,279951,300200,596210,231880
C425,Yash,Tamil Nadu,210706,179460,230918,426689,194395
C426,Avni,Telangana,177958,181572,193979,306293,247216
C427,Karan,Rajasthan,204520,223972,203219,487193,144518
C428,Riya,Madhya Pradesh,173408,179690,222230,423534,151794
C429,Dev,Delhi,195817,173454,155941,317171,208041
C430,Nisha,Gujarat,245947,225521,287492,497053,261907
C431,Ayaan,Karnataka,134461,159168,149664,303706,139587
C432,Pihu,Maharashtra,204399,191729,214738,415236,195630
C433,Rahul,Tamil Nadu,84491,87541,78869,191893,59008
C434,Simran,Telangana,100421,89737,100483,219294,71347
C435,Manav,Rajasthan,148504,175574,191469,378700,136847
C436,Kavya,Madhya Pradesh,67437,57653,73525,143095,55520
C437,Om,Delhi,129377,142312,169086,276944,163831
C438,Sneha,Gujarat,227507,189518,236275,432386,220914
C439,Varun,Karnataka,228272,281084,295647,587023,217980
C440,Aditi,Maharashtra,239566,238277,247260,506875,218228
C441,Harsh,Tamil Nadu,101439,102355,107722,178512,133004
C442,Neha,Telangana,219032,193137,238236,392208,258197
C443,Akash,Rajasthan,150536,186575,164702,309287,192526
C444,Shreya,Madhya Pradesh,207233,179393,167917,306027,248516
C445,Ritesh,Delhi,177858,164804,142797,289069,196390
C446,Tanvi,Gujarat,160702,191490,195454,421850,125796
C447,Mohit,Karnataka,101864,119160,151118,263288,108854
C448,Palak,Maharashtra,109763,126023,133479,241435,127830
C449,Siddharth,Tamil Nadu,190746,228514,241936,359302,301894
C450,Mahi,Telangana,163086,169175,217222,316467,233016
C451,Aarav,Rajasthan,152509,128248,122483,272330,130910
C452,Diya,Madhya Pradesh,231510,256787,245786,383283,350800
C453,Rohan,Delhi,88179,88646,110238,203571,83492
C454,Anaya,Gujarat,165710,161957,163945,328531,163081
C455,Vihaan,Karnataka,111027,108349,103855,200548,122683
C456,Ishita,Maharashtra,178057,204532,195177,449018,128748
C457,Arjun,Tamil Nadu,238362,258086,227569,394688,329329
C458,Meera,Telangana,157831,183368,180206,398419,122986
C459,Kabir,Rajasthan,97818,88583,94285,182451,98235
C460,Saanvi,Madhya Pradesh,71876,60141,69915,147214,54718
C461,Aditya,Delhi,196139,199376,221507,403551,213471
C462,Aanya,Gujarat,145974,178159,173329,309505,187957
C463,Vivaan,Karnataka,221611,252172,243001,435415,281369
C464,Myra,Maharashtra,193618,203087,235620,378095,254230
C465,Reyansh,Tamil Nadu,64361,62970,72001,154437,44895
C466,Anika,Telangana,213014,202853,253851,500109,169609
C467,Atharv,Rajasthan,224956,187041,195982,469018,138961
C468,Kiara,Madhya Pradesh,211643,226115,263711,471187,230282
